state,pwsid
CA,ca3610004
CA,ca4410011
CA,ca1310006
CA,ca301-0064
CA,ca2110006
CA,ca4710011
GA,GA0150000
GA,GA0750000
GA,GA3090000
GA,GA0950000
GA,GA0050000
GA,GA2610000
GA,GA2870000
GA,GA0590000
GA,GA1210001
GA,GA0130000
GA,GA2450000
GA,GA0670001
GA,GA0870001
GA,GA1370001
GA,GA0090000
GA,GA0110026
GA,GA1710000
GA,GA0130031 & GA0130034
GA,GA0150001
GA,GA0010000
GA,GA2290000
GA,GA2910000
GA,GA0990000
GA,GA1110000
GA,GA0450000
GA,GA1570000
GA,GA1430000
GA,GA1270000
GA,GA1270150
GA,GA1270001
GA,GA1350000
GA,GA0350051
GA,GA2250000
GA,GA1310000
GA,GA1290000
GA,GA2050001
GA,GA0570001
GA,GA0450001
GA,GA0450002
GA,GA0150002
GA,GA0470000
GA,GA1150000
GA,GA2330000
GA,GA1530000
GA,GA2130000
GA,GA0550000
GA,GA0570002
GA,GA2950000
GA,GA1370002
GA,GA1090001
GA,GA2410000
GA,GA0630000
GA,GA3110000
GA,GA0670003/GA0670002
GA,GA0230000
GA,GA1210002
GA,GA0730000
GA,GA2150000
GA,GA1570001
GA,GA0510034
GA,GA2910006
GA,GA0810001
GA,GA1370003
GA,GA2170001
GA,GA0770042
GA,GA1170000
GA,GA0530002
GA,GA2430000
GA,GA0830000
GA,GA1870000
GA,GA2230000
GA,GA3130000
GA,GA2730001
GA,GA0890001
GA,GA1370004
GA,GA0690002
GA,GA0970000
GA,GA1750002
GA,GA1750004
GA,GA1210003
GA,GA0910002
GA,GA2370000
GA,GA1030131
GA,GA1050001
GA,GA1230000
GA,GA0850007
GA,GA1210004
GA,GA1130001
GA,GA1130003
GA,GA0170000
GA,GA1150001
GA,GA0490000
GA,GA2070001
GA,GA1170050
GA,GA0470001
GA,GA2250001
GA,GA1190051
GA,GA1390001
GA,GA0510000
GA,GA0510109
GA,GA2670002
GA,GA1690000
GA,GA1330000
GA,GA2550000
GA,GA0730001
GA,GA1350004
GA,GA1510000
GA,GA1210006
GA,GA1430007
GA,GA0730002
GA,GA1450011
GA,GA1470065
GA,GA1470000
GA,GA2350001
GA,GA1610001
GA,GA1490000
GA,GA1510001
GA,GA2450002
GA,GA2810000
GA,GA1790000
GA,GA2850000
GA,GA0650000
GA,GA1530021
GA,GA1570117
GA,GA2270000
GA,GA1570003
GA,GA3050000
GA,GA1690002
GA,GA0390000
GA,GA2950002
GA,GA2850001
GA,GA0810064
GA,GA1190003
GA,GA1350005
GA,GA1770068
GA,GA1770000
GA,GA1810038
GA,GA1510002
GA,GA1350006
GA,GA1630002
GA,GA1850016
GA,GA1850019
GA,GA2790000
GA,GA0210001
GA,GA2110002
GA,GA1990003
GA,GA0670005
GA,GA1970003
GA,GA1110001
GA,GA1510003
GA,GA2710003
GA,GA0430000
GA,GA0090001
GA,GA1650000
GA,GA2970001
GA,GA1930002
GA,GA1590000
GA,GA0710004/GA0710021
GA,GA0190002
GA,GA0770002
GA,GA2170097
GA,GA1210005
GA,GA2910003
GA,GA2190000
GA,GA1930003
GA,GA1210008
GA,GA2230002
GA,GA2050003
GA,GA1530006
GA,GA2270002
GA,GA2330001
GA,GA0510001
GA,GA0210002
GA,GA0270002
GA,GA1330046
GA,GA0290000
GA,CG1030001
GA,GA0470002
GA,GA2470000
GA,GA2330002
GA,GA1150002
GA,GA1210009
GA,GA3030005
GA,GA2990051/GA2990001
GA,GA0510081
GA,GA0510003
GA,GA0510259
GA,GA0510250
GA,GA0510229
GA,GA0770003
GA,GA0670007
GA,GA2970002
GA,GA0290080
GA,GA2070074
GA,GA2550036
GA,GA1410001
GA,GA0390001
GA,GA0310004
GA,GA0130001
GA,GA1510004
GA,GA0550003
GA,GA1070005
GA,GA2510003
GA,GA3210003
GA,GA2630005
GA,GA1430002
GA,GA0450005
GA,GA0510033
GA,GA2930000
GA,GA2750005
GA,GA1890001
GA,GA2770001
GA,GA2570001
GA,GA2810007
GA,GA0510005
GA,GA0930003
GA,GA1210010
GA,GA2930010
GA,GA1790024
GA,GA0510107
GA,GA0390013
GA,GA1850125
GA,GA1530042
GA,GA0950035
GA,GA2270004
GA,GA1850002
GA,GA2790002
GA,GA0930004
GA,GA0450006
GA,GA2950003
GA,GA1790020
GA,GA2970008
GA,GA1530007
GA,GA3170002
GA,GA2990002
GA,GA0330004
GA,GA2850002
GA,GA3110072
GA,GA0130002
GA,GA0570003
GA,GA1670002
GA,GA1730000
GA,GA0670006
GA,GA1030001
GA,GA0130031
GA,GA2690000
GA,GA0670003
GA,GA0520002
GA,GA0710004
GA,GA2170004
GA,GA0510002
GA,GA2990001
GA,GA1270142
